diversity,equity,inclusion,document_length,firm_id,time
2.3375,4.0660,2.1407,3288.0000,Fortive Corp,2020
0.5415,7.8569,2.2041,1597.0000,Investors Bancorp Inc,2020
3.6199,2.2198,1.4720,3067.0000,Crowdstrike Holdings Inc,2020
2.5296,1.9621,0.8715,2012.0000,Crowdstrike Holdings Inc,2020
2.5573,4.6876,2.0527,2311.0000,News Corp,2020
4.1039,2.8207,1.6795,2923.0000,Groupon Inc,2020
4.7434,3.1146,1.1385,1999.0000,Groupon Inc,2020
1.6525,1.0150,1.4097,2253.0000,Harmony Biosciences Holdings Inc,2020
4.2734,5.7512,1.7519,3967.0000,American Outdoor Brands Inc,2020
2.8483,2.9649,2.8652,3787.0000,Moncler SpA,2020
1.1313,7.5359,2.2041,2723.0000,Tofas Turk Otomobil Fabrikasi AS,2020
1.3658,5.3197,2.7720,4825.0000,Premier Gold Mines Ltd,2020
2.0714,3.5485,3.8609,4112.0000,Aphria Inc,2020
1.5978,2.3685,1.5763,3770.0000,Novo Nordisk A/S,2020
3.0851,2.0558,0.8007,5366.0000,Galaxy Gaming Inc,2020
0.8058,8.6792,1.1494,948.0000,Integra Lifesciences Holdings Corp,2020
1.8318,5.2437,3.4868,1635.0000,Usio Inc,2020
5.5551,1.9322,1.5399,5869.0000,Colgate-Palmolive (India) Ltd,2020
1.5980,8.8351,3.1149,881.0000,Jupiter Mines Ltd,2020
2.9051,2.8905,1.3229,3164.0000,Navin Fluorine International Ltd,2020
1.9729,4.9601,2.7668,7175.0000,B3 SA Brasil Bolsa Balcao,2020
2.5256,3.8213,2.7742,6361.0000,B3 SA Brasil Bolsa Balcao,2020
0.5829,1.3359,0.6645,4023.0000,AB Science SA,2020
0.9206,2.9291,1.9826,2634.0000,MacroGenics Inc,2020
1.4527,10.8190,4.2366,2046.0000,cbdMD Inc,2020
1.4255,5.6794,4.4736,1600.0000,Ultra Clean Holdings Inc,2020
1.3521,10.4350,2.9206,1285.0000,WPP Aunz Ltd,2020
1.5466,1.5933,1.0468,3301.0000,MeiraGTx Holdings PLC,2020
0.5548,5.4183,1.5706,2762.0000,Transurban Group,2020
2.3282,5.6578,2.3312,4359.0000,Adbri Ltd,2020
2.6160,2.6390,2.3185,2301.0000,EverQuote Inc,2020
2.7533,3.5733,1.5556,7837.0000,Ingenia Communities Group,2020
2.9515,3.9389,1.9149,2763.0000,Duerr AG,2020
2.9630,2.6281,0.4033,2102.0000,ZoomInfo Technologies Inc,2020
1.6187,5.1163,1.7592,5449.0000,Premier Oil PLC,2020
3.5421,6.7418,1.7789,1389.0000,Alphatec Holdings Inc,2020
1.9677,4.7725,4.6411,2938.0000,Weibo Corp,2020
1.2018,1.3341,1.7216,1906.0000,Zynerba Pharmaceuticals Inc,2020
1.3600,2.1040,0.7860,1956.0000,Horizon Therapeutics PLC,2020
1.1948,2.0808,3.4695,2269.0000,Seneca Biopharma Inc,2020
2.1401,6.4263,3.8602,2190.0000,Whole Earth Brands Inc,2020
1.7464,0.6757,1.1303,3519.0000,Otonomy Inc,2020
1.3061,3.0304,0.8028,3713.0000,Emerson Electric Co,2020
0.3818,6.4965,2.8574,843.0000,Exela Technologies Inc,2020
1.2830,5.4952,0.7971,1484.0000,SPS Commerce Inc,2020
0.0000,17.2576,3.4990,349.0000,CR2 EMPREENDIMENTOS IMOBILIARIOS SA,2020
1.7512,7.7473,2.8502,3960.0000,Leslie's Inc,2020
0.7814,8.9313,0.7158,2631.0000,Ark Restaurants Corp,2020
1.4448,14.4106,0.5898,974.0000,Polaris Infrastructure Inc,2020
2.0815,12.7577,3.9975,1825.0000,Park24 Co Ltd,2020
1.9562,0.4095,1.9692,2025.0000,Mesoblast Ltd,2020
3.5070,5.4751,2.5850,3688.0000,Stillfront Group AB (publ),2020
2.2606,3.7501,1.8797,2266.0000,MIX Telematics Ltd,2020
2.8660,3.6162,2.5247,3703.0000,Tikkurila Oyj,2020
1.4915,3.9068,1.8016,2611.0000,Wienerberger AG,2020
1.8013,3.0385,3.6223,1919.0000,Koninklijke Philips NV,2020
2.3258,7.8315,4.6919,1350.0000,Hexindai Inc,2020
3.5311,6.5056,1.7549,748.0000,Sanlam Ltd,2020
0.6750,5.1249,2.4646,842.0000,Energisa SA,2020
1.0563,7.2376,0.8410,322.0000,Strongpoint ASA,2020
1.2654,15.9492,0.0000,486.0000,Castellum AB,2020
0.3386,9.1149,2.1981,1955.0000,Optical Cable Corp,2020
5.7863,1.5348,0.9665,7810.0000,NVIDIA Corp,2020
1.0249,1.3565,1.6482,3691.0000,Karyopharm Therapeutics Inc,2020
1.5528,2.3111,2.1959,3618.0000,Myovant Sciences Ltd,2020
2.5485,6.9950,4.3024,2211.0000,Lockheed Martin Corp,2020
0.5400,12.7677,0.0000,792.0000,Castellum AB,2020
1.4798,5.4870,4.6543,1558.0000,Hanwha Solutions Corp,2020
0.6457,7.6624,2.5778,1476.0000,Fubon Financial Holding Co Ltd,2020
0.0000,2.3162,3.8794,699.0000,Delphi Energy Corp,2020
0.8919,3.8066,3.2086,1861.0000,OTC Markets Group Inc,2020
1.5909,7.1860,1.7774,3471.0000,Diamondback Energy Inc,2020
0.8726,6.8918,3.3725,2420.0000,Tele Columbus AG,2020
1.2993,3.3883,1.9486,4009.0000,Agios Pharmaceuticals Inc,2020
2.7208,3.4608,5.4481,1277.0000,ViaSat Inc,2020
2.2341,5.6073,2.5210,3035.0000,Rent-A-Center Inc,2020
1.2889,0.6454,1.7069,3332.0000,Uniqure NV,2020
2.4113,2.8546,1.5236,2607.0000,Zoom Video Communications Inc,2020
0.2669,4.1036,2.2151,1466.0000,SeQuent Scientific Ltd,2020
3.0753,3.7321,2.3070,3416.0000,Anterix Inc,2020
0.1641,13.2524,3.5845,1327.0000,Bridgeline Digital Inc,2020
1.2461,1.5079,0.8014,4521.0000,ChemoCentryx Inc,2020
1.7023,5.0319,3.1472,2646.0000,CSP Inc,2020
2.9124,2.3722,3.5130,2122.0000,Invisio AB,2020
1.7258,3.9431,1.5666,1397.0000,WELL Health Technologies Corp,2020
1.1172,1.4605,1.0026,5085.0000,Rhythm Pharmaceuticals Inc,2020
1.7723,7.6878,1.7017,1606.0000,MDC Partners Inc,2020
1.1331,11.4415,3.8366,1102.0000,San Miguel Industrias PET SA,2020
0.8764,2.0159,2.3064,1571.0000,Anavex Life Sciences Corp,2020
2.8925,3.0571,1.8991,4958.0000,Columbia Care Inc,2020
2.7244,4.7873,2.9060,2460.0000,AYR Strategies Inc,2020
2.7485,6.5496,3.4334,2071.0000,Juniper Industrial Holdings Inc,2020
0.7824,18.1627,3.7468,1201.0000,Forest Investments Inc,2020
1.1060,1.8501,0.1886,2964.0000,Spectrum Pharmaceuticals Inc,2020
3.5497,6.6553,6.2669,1296.0000,Secoo Holding Ltd,2020
1.1792,4.3115,1.6152,4487.0000,a2 Milk Company Ltd,2020
1.4203,0.7972,3.3078,3621.0000,NantKwest Inc,2020
1.5938,13.2365,1.9149,2906.0000,Portman Ridge Finance Corp,2020
3.0985,5.2779,1.7902,1474.0000,Sandvik AB,2020
0.1923,15.1238,2.2750,1524.0000,Peabody Energy Corp,2020
1.3663,1.3098,6.1242,5464.0000,Sumitomo Dainippon Pharma Co Ltd,2020
1.7179,2.2716,4.3283,3412.0000,Beigene Ltd,2020
0.7406,4.2127,3.6289,1728.0000,Myovant Sciences Ltd,2020
0.2206,10.4697,7.5518,1389.0000,China Finance Online Co Ltd,2020
1.0811,4.3292,5.6816,1855.0000,InRetail Peru Corp,2020
0.0000,10.9544,4.3553,436.0000,Ferrellgas Partners LP,2020
1.6058,0.8347,1.0372,3282.0000,Arcturus Therapeutics Holdings Inc,2020
2.6984,4.5093,2.8053,7639.0000,South Indian Bank Ltd,2020
0.5195,8.2847,3.1033,2834.0000,Unicaja Banco SA,2020
