diversity,equity,inclusion,document_length,firm_id,time
5.4732,2.8093,2.6890,2324.0000,MongoDB Inc,2020
4.5604,5.3159,2.6751,3288.0000,Fortive Corp,2020
0.5935,11.9641,2.4257,1597.0000,Investors Bancorp Inc,2020
4.3149,2.5182,1.6107,3067.0000,Crowdstrike Holdings Inc,2020
2.7579,2.5185,0.8715,2012.0000,Crowdstrike Holdings Inc,2020
2.8002,5.6150,2.3675,2311.0000,News Corp,2020
5.5076,3.4646,2.3203,2923.0000,Groupon Inc,2020
6.1373,3.3352,1.2417,1999.0000,Groupon Inc,2020
1.7889,1.0830,2.1866,2253.0000,Harmony Biosciences Holdings Inc,2020
6.4565,8.1806,1.8609,3967.0000,American Outdoor Brands Inc,2020
3.7495,3.7801,3.9506,3787.0000,Moncler SpA,2020
1.4072,10.3767,3.0151,2723.0000,Tofas Turk Otomobil Fabrikasi AS,2020
1.4330,9.6335,4.0998,4825.0000,Premier Gold Mines Ltd,2020
2.7374,4.6187,5.6342,4112.0000,Aphria Inc,2020
1.8079,2.8043,1.8331,3770.0000,Novo Nordisk A/S,2020
3.7880,2.7306,0.8904,5366.0000,Galaxy Gaming Inc,2020
0.9519,9.3327,1.2312,948.0000,Integra Lifesciences Holdings Corp,2020
1.8318,7.1734,3.9023,1635.0000,Usio Inc,2020
9.8939,2.9449,1.7092,5869.0000,Colgate-Palmolive (India) Ltd,2020
3.2658,12.5952,3.3596,881.0000,Jupiter Mines Ltd,2020
4.0240,5.0990,1.5437,3164.0000,Navin Fluorine International Ltd,2020
2.1718,8.6729,3.6405,7175.0000,B3 SA Brasil Bolsa Balcao,2020
3.4671,8.4667,3.5887,6361.0000,B3 SA Brasil Bolsa Balcao,2020
0.6722,1.9897,0.7227,4023.0000,AB Science SA,2020
0.9206,3.5083,2.4627,2634.0000,MacroGenics Inc,2020
1.4527,15.5335,6.0225,2046.0000,cbdMD Inc,2020
2.1742,7.1484,6.7880,1600.0000,Ultra Clean Holdings Inc,2020
1.6346,16.0813,3.1038,1285.0000,WPP Aunz Ltd,2020
2.0389,2.1567,1.1895,3301.0000,MeiraGTx Holdings PLC,2020
0.5548,7.0518,1.5706,2762.0000,Transurban Group,2020
3.2659,8.9003,2.7408,4359.0000,Adbri Ltd,2020
3.3255,3.0713,2.5637,2301.0000,EverQuote Inc,2020
3.8679,5.2190,1.8314,7837.0000,Ingenia Communities Group,2020
3.9167,4.5679,2.3484,2763.0000,Duerr AG,2020
3.4019,3.2218,0.4033,2102.0000,ZoomInfo Technologies Inc,2020
1.7860,8.9558,2.0626,5449.0000,Premier Oil PLC,2020
6.8316,7.2260,1.7789,1389.0000,Alphatec Holdings Inc,2020
2.2453,6.7415,6.7050,2938.0000,Weibo Corp,2020
1.2648,1.4150,3.0152,1906.0000,Zynerba Pharmaceuticals Inc,2020
1.5012,2.4556,0.7860,1956.0000,Horizon Therapeutics PLC,2020
1.1948,2.5534,4.5725,2269.0000,Seneca Biopharma Inc,2020
3.0088,7.7455,6.0023,2190.0000,Whole Earth Brands Inc,2020
2.6124,0.8886,1.6774,3519.0000,Otonomy Inc,2020
1.4346,3.6313,0.8028,3713.0000,Emerson Electric Co,2020
0.3818,12.6336,3.1212,843.0000,Exela Technologies Inc,2020
1.3580,7.6832,0.7971,1484.0000,SPS Commerce Inc,2020
0.0000,22.3759,3.7568,349.0000,CR2 EMPREENDIMENTOS IMOBILIARIOS SA,2020
2.4708,11.2283,3.0439,3960.0000,Leslie's Inc,2020
0.7814,14.2283,0.8261,2631.0000,Ark Restaurants Corp,2020
1.7802,24.9784,0.5898,974.0000,Polaris Infrastructure Inc,2020
2.7988,21.1023,4.6329,1825.0000,Park24 Co Ltd,2020
2.7754,0.4586,2.1265,2025.0000,Mesoblast Ltd,2020
4.6108,8.3486,3.1433,3688.0000,Stillfront Group AB (publ),2020
2.7094,4.4089,2.2121,2266.0000,MIX Telematics Ltd,2020
4.5596,5.2923,3.2986,3703.0000,Tikkurila Oyj,2020
1.8170,4.6471,1.9343,2611.0000,Wienerberger AG,2020
1.9452,3.4044,4.2660,1919.0000,Koninklijke Philips NV,2020
2.4936,9.9796,6.6171,1350.0000,Hexindai Inc,2020
4.8118,7.7198,1.7549,748.0000,Sanlam Ltd,2020
0.9649,6.3162,2.5763,842.0000,Energisa SA,2020
1.0563,7.4358,0.8410,322.0000,Strongpoint ASA,2020
1.2654,23.6354,0.0000,486.0000,Castellum AB,2020
0.3386,14.7428,2.5470,1955.0000,Optical Cable Corp,2020
9.8382,2.5407,1.0080,7810.0000,NVIDIA Corp,2020
1.2369,1.4921,2.3351,3691.0000,Karyopharm Therapeutics Inc,2020
2.1456,2.9794,2.8073,3618.0000,Myovant Sciences Ltd,2020
3.4110,8.8672,5.7457,2211.0000,Lockheed Martin Corp,2020
0.6378,20.5181,0.0000,792.0000,Castellum AB,2020
1.4798,7.8894,5.2400,1558.0000,Hanwha Solutions Corp,2020
0.6457,10.6197,2.7743,1476.0000,Fubon Financial Holding Co Ltd,2020
0.0000,2.4620,4.5351,699.0000,Delphi Energy Corp,2020
1.1123,4.5247,4.3369,1861.0000,OTC Markets Group Inc,2020
1.8123,10.9820,2.2621,3471.0000,Diamondback Energy Inc,2020
0.9565,9.5488,4.7840,2420.0000,Tele Columbus AG,2020
1.4247,4.2152,2.2934,4009.0000,Agios Pharmaceuticals Inc,2020
2.8852,3.7038,6.3246,1277.0000,ViaSat Inc,2020
3.0014,7.8130,2.7599,3035.0000,Rent-A-Center Inc,2020
1.3148,0.7309,2.1678,3332.0000,Uniqure NV,2020
2.7184,3.8940,1.5524,2607.0000,Zoom Video Communications Inc,2020
0.2669,4.8215,2.4772,1466.0000,SeQuent Scientific Ltd,2020
3.7247,5.0862,2.9787,3416.0000,Anterix Inc,2020
0.1641,16.4003,5.6451,1327.0000,Bridgeline Digital Inc,2020
1.2953,2.0616,0.8245,4521.0000,ChemoCentryx Inc,2020
1.9702,6.0493,4.0269,2646.0000,CSP Inc,2020
3.7515,2.8474,6.2716,2122.0000,Invisio AB,2020
1.7258,4.5538,1.5666,1397.0000,WELL Health Technologies Corp,2020
1.5156,1.6608,1.1656,5085.0000,Rhythm Pharmaceuticals Inc,2020
2.1564,9.0291,1.7709,1606.0000,MDC Partners Inc,2020
1.1331,14.4271,4.0470,1102.0000,San Miguel Industrias PET SA,2020
0.9106,2.1622,2.4141,1571.0000,Anavex Life Sciences Corp,2020
3.7211,3.9496,2.3130,4958.0000,Columbia Care Inc,2020
4.7117,7.8355,4.0009,2460.0000,AYR Strategies Inc,2020
2.9510,7.8528,3.6563,2071.0000,Juniper Industrial Holdings Inc,2020
0.7824,33.7612,6.8596,1201.0000,Forest Investments Inc,2020
1.2068,2.0964,0.1886,2964.0000,Spectrum Pharmaceuticals Inc,2020
3.9076,8.7307,10.7886,1296.0000,Secoo Holding Ltd,2020
1.4419,5.9038,2.3639,4487.0000,a2 Milk Company Ltd,2020
1.6548,1.0540,4.2050,3621.0000,NantKwest Inc,2020
1.7321,21.2588,2.0178,2906.0000,Portman Ridge Finance Corp,2020
4.0126,6.1441,1.9280,1474.0000,Sandvik AB,2020
0.1923,28.4246,2.4714,1524.0000,Peabody Energy Corp,2020
1.5939,2.1507,10.8908,5464.0000,Sumitomo Dainippon Pharma Co Ltd,2020
1.9488,2.9233,7.0835,3412.0000,Beigene Ltd,2020
0.7406,5.9074,5.1847,1728.0000,Myovant Sciences Ltd,2020
0.2206,18.9842,10.4609,1389.0000,China Finance Online Co Ltd,2020
1.4369,6.0497,8.7520,1855.0000,InRetail Peru Corp,2020
0.0000,12.4795,4.3553,436.0000,Ferrellgas Partners LP,2020
1.7132,0.8664,1.0372,3282.0000,Arcturus Therapeutics Holdings Inc,2020
3.2129,9.2911,3.8193,7639.0000,South Indian Bank Ltd,2020
0.5419,15.3070,3.8366,2834.0000,Unicaja Banco SA,2020
